parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,season,team
alpha[14],0.8394773550272614,0.07289363450331077,3.5446705728132586,-6.7936531262811,-1.2053751321027582,1.1135968222332238,3.0185752158823282,7.329139577084587,2364.6809352879773,1.0012994258353165,2008,WAS
alpha[15],4.571080467358685,0.081629528600436,3.7763255725004803,-2.6267773082158294,2.0427495025900653,4.230030748752472,6.864074236333508,12.852787992383636,2140.1503379572014,1.0014563154723257,2008,BAL
alpha[16],0.9807068279188051,0.062189819837833504,3.4251701861124726,-6.3616764329232245,-1.1257249606713444,1.1836984109138045,3.2161412069556232,7.490168235312892,3033.372274129413,1.0001567624900867,2008,BUF
alpha[17],6.63331982320553,0.12235371007658873,4.02370105655363,-0.019438891043739,3.604142953218897,6.201229575547913,9.273565342033612,15.476408115538751,1081.4766037380878,1.0027405595209395,2008,CAR
alpha[18],0.24172765614645386,0.08315669656943771,3.6948002565391342,-7.969137030627019,-2.115143995153198,0.5890585359004235,2.8306908147551164,6.586562360248442,1974.1832973534301,1.0028992851553589,2008,CIN
alpha[19],5.036591615503793,0.08570447137018578,3.68518195337627,-1.3984019635148,2.5086589198570537,4.6339154487732195,7.421054834202707,12.837175124106757,1848.8893057218356,1.0015438725203496,2008,DAL
alpha[20],-4.994308870495886,0.21785365213303864,5.3039559851581295,-16.16567927214991,-8.654234879384013,-4.628832131668036,-0.8239780529946036,3.362302854097947,592.7480487560231,1.0073589167181292,2008,DET
alpha[21],0.13605912195558373,0.08639853958327318,3.6857988931629895,-7.812740844361457,-2.1748327758785013,0.5806478841497089,2.6889797417982777,6.679840620120292,1819.9123304149782,1.0013007561990581,2008,KC
alpha[22],0.0736143835328998,0.07600565704304191,3.6996686562933165,-8.094727553068331,-2.073914599340143,0.49511451376099824,2.6115926733492807,6.6183993210426015,2369.375127191557,1.0012082733066507,2008,MIA
alpha[23],2.4838192114004416,0.05736943441897329,3.5223217032002316,-4.764260407477672,0.3609018572021616,2.48037151128214,4.686205552840626,9.482178827010676,3769.614165036034,0.9996067072634534,2008,MIN
alpha[24],1.644290002466118,0.05782139502432723,3.413853278710618,-5.489756480147385,-0.42806345500010634,1.8471142549503003,3.7300957906238383,8.479042520647935,3485.8811274348027,0.9995938707345725,2008,NE
alpha[25],4.918474996416895,0.08369897087988384,3.684809784223177,-1.662424699234953,2.3864410528992104,4.573522538230973,7.281945988052881,12.824816211201576,1938.1612717691257,1.0001838384821995,2008,NYG
alpha[26],1.244337132105131,0.06570299689746228,3.5640555846069453,-6.352256741936298,-0.888351160102336,1.478309327360543,3.5243053318579927,8.05759905218017,2942.5142753018567,1.000622238210394,2008,SF
alpha[27],5.111667357762374,0.09098987766796149,3.7154029923772742,-1.4242093928019333,2.5066174717023006,4.707810052546975,7.366565119908778,13.523575268424477,1667.3458419110993,1.000826704937758,2008,ARI
alpha[28],1.0687746319233564,0.08314070255915165,3.5979504729384475,-6.685399122202618,-1.161069539177324,1.4092697392767097,3.328823391888706,7.871887231422449,1872.7636944744902,1.0015416029539599,2008,LA
alpha[29],5.200494040411948,0.08734907768498094,3.7165028649034935,-1.3311502135877908,2.6090104670143215,4.860494966395381,7.478237112363219,13.539430330672067,1810.3072743588598,1.0012625028151192,2008,LAC
alpha[30],-1.8581681581379772,0.1255252175858341,4.156636295434412,-11.072223632469036,-4.517983891664751,-1.4434497928675216,1.2846477982162146,5.066828981339233,1096.5339571417803,1.0028380708692506,2008,LV
alpha[31],3.04250284884668,0.059074166633831915,3.5336455745966324,-3.914609076115714,0.8830561756082044,2.9539753748703306,5.189072128977758,10.178156569276702,3578.0859417760744,1.0013608447850901,2008,PIT
alpha[32],3.698957063628818,0.06075002504531234,3.4985284224364084,-3.156354847756069,1.5312734430977986,3.4669587057544824,5.781826883780544,11.137953015408726,3316.483877597193,1.0006115291493347,2008,HOU
alpha_mean,2.498551401564209,0.024722938077718106,1.1381076839837225,0.17133143849936744,1.773043619609449,2.4948006330851347,3.233211691737009,4.697296595677312,2119.1736672890056,1.000257454278815,2008,ALL
alpha_sigma,4.2821348540385715,0.08852886488709265,1.8515715725604271,0.6229126701550121,3.040463992584989,4.35141752576928,5.52127990002737,7.775168715681455,437.43267172838205,1.0112221232429623,2008,ALL
alpha[1],2.282829966544292,0.04903114737887289,2.7182412026584224,-3.221333587859795,0.8260977504750063,2.2286114342450847,3.7437901825623774,8.284280319025248,3073.4904619785275,0.9992955043628337,2009,ATL
alpha[2],3.0512947684686487,0.05274691302007887,2.8482690252432934,-2.1488990108100383,1.362115608810983,2.7355157005237567,4.540043094821838,9.679372756453336,2915.8683917579765,0.999844733377416,2009,CHI
alpha[3],2.3443093773920105,0.04930413186089819,2.8240395832815692,-3.508027214603326,0.8183469127724929,2.2912872142263274,3.822261105789138,8.356261114616165,3280.763518468755,0.999134055295072,2009,CLE
alpha[4],0.8229110513577901,0.06771846513314225,3.0105129181138937,-6.612187199714925,-0.6199923191617036,1.3084268769644143,2.7087293776402985,5.88740625806185,1976.3632879927438,1.000368327333888,2009,DEN
alpha[5],2.58446514371097,0.05216888770517486,2.790733403394866,-2.919894997201648,0.9887793868793382,2.415779343733603,4.036879128831333,8.788117442280138,2861.630440006085,0.9995547894609778,2009,GB
alpha[6],1.4899955819341153,0.05533389623099073,2.841939043411988,-4.863955281514012,0.0258480099016688,1.7149881837794951,3.1631219983241046,6.782256459373957,2637.831283240275,0.9994343116277133,2009,IND
alpha[7],2.7960910378700627,0.05050304975491493,2.726000963989464,-2.542799855868624,1.1521667752484839,2.53831755660865,4.227368010860303,8.710494417121682,2913.5119275927805,0.9993720567330282,2009,JAX
alpha[8],2.5922123784245903,0.051923750270027436,2.8513898264357103,-2.7990077773309876,0.9808375335129186,2.4253950289053985,4.062528268836025,8.91199102974754,3015.651049324939,0.9996841447652676,2009,NO
alpha[9],1.730969566573674,0.0513822162343061,2.8732212394387284,-4.690916338372595,0.24934792800582184,1.8929318897402432,3.3744441384838835,7.2298717253723055,3126.8890483116143,1.0007733649131678,2009,NYJ
alpha[10],2.2145093601973684,0.05352014275412607,2.8024874834863627,-3.6764881131891167,0.7324633520174519,2.1344051333298317,3.660057486194266,8.19171897684347,2741.907736316369,1.0004607458486312,2009,PHI
alpha[11],3.3106319283528958,0.06477707603967053,2.9629096342029944,-1.9303933631411887,1.5335832348375888,2.9276533199943295,4.780667319811047,10.297415592050648,2092.1563221388324,0.999842939459599,2009,SEA
alpha[12],-0.2454774792228637,0.10830631305248598,3.5455473580445256,-8.858869184227514,-2.1387601760035073,0.5731188423663783,2.2067848237810965,4.76823142163354,1071.6649762300622,1.0031932122887264,2009,TB
alpha[13],3.255310626831549,0.05654408485175064,2.9046742939689603,-2.0128777860849274,1.5052707984301124,2.8210497409105137,4.64648350291153,10.242673916372095,2638.8853583366435,0.999186327842262,2009,TEN
alpha[14],0.46344749748294356,0.07628675398276506,3.069000987090473,-7.128262262520794,-1.0122068554549712,1.0125862639610237,2.408770191608435,5.363416451635385,1618.436946959356,1.001870960489912,2009,WAS
alpha[15],4.048617948978066,0.08669741211200843,3.2029622864755276,-0.9365866521188209,1.9147849943996444,3.4212090979000864,5.700040408164873,11.717913874652696,1364.870294900757,1.000002855243206,2009,BAL
alpha[16],2.635319150739029,0.05031335679792196,2.869300586820487,-3.197569426905379,0.9820381001126328,2.505740997182673,4.1310628659738615,9.145842394733718,3252.261869329217,1.0000946348055475,2009,BUF
alpha[17],1.6779136876043368,0.050728086272225324,2.855041578034715,-4.837013802718269,0.25373343495021994,1.8230960591533938,3.330257322834989,6.853023615610698,3167.5823690079446,0.9994526918121651,2009,CAR
alpha[18],2.888266261812544,0.0504251490831899,2.860120489420149,-2.5405848708179364,1.3097983211026958,2.634736632291232,4.316249958409875,9.189059581673453,3217.171973228492,0.9997249330630658,2009,CIN
alpha[19],3.1995492696041166,0.05848563030748329,2.8523866467778243,-1.8248482922444575,1.4703272604795894,2.798286655600898,4.576533951016321,9.951011802250594,2378.583708086499,0.9995086189976056,2009,DAL
alpha[20],1.6729292907414162,0.05986640576913213,2.8659151473540314,-4.724825397921458,0.29398871145278516,1.8462354397526202,3.247691286636363,7.352894393334224,2291.7133032781553,0.9999777402333401,2009,DET
alpha[21],-0.014207245636281224,0.097505941189104,3.297538746648096,-7.969028509629925,-1.8294545766656658,0.7336108907863146,2.2213961169035272,5.008122575048519,1143.7145788801176,1.0012291966295086,2009,KC
